date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:25:54	355/355	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2004%20May%202021%2016:45:39%20GMT	http://milkywayinfotech.in/robots.txt		(from )
09:25:56	38024/38024	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:55:55%20GMT	http://milkywayinfotech.in/	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/index.html	(from )
09:25:59	3352/3352	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2004:18:40%20GMT	https://www.milkywayinfotech.in/public/front/css/owl.carousel.min.css	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/css/owl.carousel.min.css	(from http://milkywayinfotech.in/)
09:26:00	153142/153142	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2004:50:28%20GMT	https://www.milkywayinfotech.in/public/front/css/bootstrap.min.css	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/css/bootstrap.min.css	(from http://milkywayinfotech.in/)
09:26:00	1371/1371	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2004:18:40%20GMT	https://www.milkywayinfotech.in/public/front/css/flaticon.css	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/css/flaticon.css	(from http://milkywayinfotech.in/)
09:26:00	96424/96424	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2004:18:40%20GMT	https://www.milkywayinfotech.in/public/front/css/remixicon.css	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/css/remixicon.css	(from http://milkywayinfotech.in/)
09:26:00	2612/2612	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2004:18:40%20GMT	https://www.milkywayinfotech.in/public/front/css/meanmenu.min.css	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/css/meanmenu.min.css	(from http://milkywayinfotech.in/)
09:26:01	60563/60563	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2004:18:40%20GMT	https://www.milkywayinfotech.in/public/front/css/animate.min.css	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/css/animate.min.css	(from http://milkywayinfotech.in/)
09:26:01	2959/2959	---M--	200	added ('OK')	text/css	date:Thu,%2006%20May%202021%2009:28:00%20GMT	https://www.milkywayinfotech.in/public/front/css/custome.css	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/css/custome.css	(from http://milkywayinfotech.in/)
09:26:02	32736/32736	---M--	200	added ('OK')	text/css	date:Thu,%2006%20May%202021%2010:51:56%20GMT	https://www.milkywayinfotech.in/public/front/css/responsive.css	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/css/responsive.css	(from http://milkywayinfotech.in/)
09:26:03	138386/138386	---M--	200	added ('OK')	text/css	date:Mon,%2010%20May%202021%2010:14:02%20GMT	https://www.milkywayinfotech.in/public/front/css/style.css	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/css/style.css	(from http://milkywayinfotech.in/)
09:26:04	38024/38024	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:02%20GMT	http://milkywayinfotech.in/index.php	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/index-2.html	(from http://milkywayinfotech.in/)
09:26:04	19627/19627	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Apr%202021%2010:43:30%20GMT	https://www.milkywayinfotech.in/public/front/img/logo.png	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/logo.png	(from http://milkywayinfotech.in/)
